individual,tag,tank,temp,day,growth,Hg,cort,hsp,atp,hct,fork,total,start_weight,mid_weight,end_weight
41,19825,E5,24.36,24,-1.038399132,92.86,0.98,33014.84,1.24,18,10.0,10.4,13.6,11.2,10.6
42,E0002,E5,24.36,24,-0.819626226,78.44,1.17,24241.11,1.51,18,8.9,9.2,8.4,7.5,6.9
43,27693,E5,24.36,24,-0.705908966,90.69,,22151.25,0.75,19,9.6,9.9,15.4,13.2,13.0
44,24587,E5,24.36,24,-0.896297415,84.89,,23780.01,0.91,14,8.8,9.0,9.3,7.7,7.5
45,30662,E5,24.36,24,-0.839803828,85.19,1.47,20288.18,0.85,19,9.8,10.1,12.6,10.4,10.3
46,16645,E5,24.36,24,-0.821099327,89.49,1.64,15060.49,1.23,18,9.9,10.1,12.3,11.0,10.1
47,26882,E5,24.36,24,-1.047143451,71.46,,10433.24,0.57,23,9.5,9.8,11.7,9.6,9.1
48,23195,E9,20.03,24,1.608304186,58.08,0.73,354.25,1.52,30,11.0,11.7,12.1,14.0,17.8
49,65561,E9,20.03,24,2.041760401,50.99,0.71,375.46,2.01,30,12.0,12.6,13.6,18.2,22.2
50,16015,E9,20.03,24,2.273382249,54.3,0.53,334.13,1.58,28,11.4,11.8,11.3,14.7,19.5
51,31791,E9,20.03,24,1.870625917,50.15,0.64,158.56,1.89,33,11.4,12.0,12.0,14.9,18.8
52,21579,E9,20.03,24,2.557251679,52.61,1.03,370.85,2.57,33,12.0,12.5,13.1,18.8,24.2
53,39949,E9,20.03,24,2.467774815,58.76,1.02,762.49,2.2,32,11.1,11.6,9.9,13.5,17.9
54,24601,E9,20.03,24,2.378873116,52.48,0.96,546.36,2.49,31,11.5,12.0,11.3,15.3,20.0
55,B6767,E6,15.52,24,3.099334562,56.78,0.33,272.83,3.32,29,12.5,13.0,12.5,19.4,26.3
56,54C09,E6,15.52,24,3.526213824,51.46,0.21,1924.36,2.22,33,13.5,14.1,14.2,24.6,33.1
57,42679,E6,15.52,24,3.245744235,53.38,0.38,12.23,2.08,29,12.1,12.6,10.6,17.3,23.1
58,19167,E6,15.52,24,3.312207812,59.24,0.44,152.46,2.06,31,12.8,13.4,12.6,20.2,27.9
59,24605,E6,15.52,24,3.92292563,56.31,0.27,39.52,2.46,33,12.3,12.7,9.4,17.1,24.1
60,26772,E6,15.52,24,2.690943852,54.04,0.35,376.63,2.09,34,12.2,12.8,11.9,17.2,22.7
61,17353,E6,15.52,24,3.008894656,50,0.45,4.41,1.38,33,11.7,12.2,10.2,15.5,21.0
62,19819,E6,15.52,24,2.697821432,52.19,0.35,257.51,1.58,35,11.8,12.0,11.2,15.7,21.4
63,79442,E7,17.74,24,2.207997011,70.02,0.19,138.54,2.01,27,10.7,11.2,8.3,10.1,14.1
64,10849,E7,17.74,24,2.359981146,44.63,0.59,10.26,1.6,32,11.4,11.8,10.5,14.5,18.5
65,91596,E7,17.74,24,3.211272562,53.77,0.63,123.84,1.65,35,12.4,12.9,12.4,20.3,26.8
66,12207,E7,17.74,24,3.263994001,61.92,0.35,119.97,2.33,31,13.8,14.5,14.3,23.4,31.3
67,9921,E7,17.74,24,3.300992013,53.21,0.27,263.27,1.64,35,11.8,12.4,9.6,15.9,21.2
68,22627,E7,17.74,24,3.134317071,52.19,0.57,150.07,1.87,37,12.3,12.9,11.5,17.8,24.4
69,4020C,E7,17.74,24,3.221624534,49.03,0.43,254.41,2.01,35,12.9,13.5,13.2,19.6,28.6
70,52926,E7,17.74,24,2.011235234,71.4,0.17,31.95,1.84,36,11.5,12.2,13.7,18.8,22.2
71,62438,E8,22.37,24,0.825053694,51.57,0.71,6565.7,1.35,28,11.0,11.6,13.7,15.3,16.7
72,24025,E8,22.37,24,2.02976308,87.17,1.06,1966.29,1.67,27,10.2,10.7,9.4,12.4,15.3
73,39360,E8,22.37,24,0.958401794,61.61,1.04,3393.41,1.09,30,10.4,11.0,11.6,13.0,14.6
74,25618,E8,22.37,24,0.319305108,65.32,1.09,3266.05,1.17,32,10.0,10.3,11.3,12.0,12.2
75,21274,E8,22.37,24,0.746672623,74.19,1.31,3265.86,0.61,32,9.8,10.2,10.7,11.4,12.8
76,59064,E8,22.37,24,0.556380803,65.33,1.22,5164.42,1.27,29,9.5,9.9,9.1,10.7,10.4
77,92C56,E8,22.37,24,0,57.48,1.61,7616.97,0.74,32,10.8,11.3,14.8,16.0,14.8
78,19817,E8,22.37,24,2.291859737,54.19,1.04,1276.08,2.29,30,12.1,12.7,13.5,19.8,23.4
